PROVINCIE;BEVOEGD GEZAG NUMMER;BRIN NUMMER;VESTIGINGSNUMMER;VESTIGINGSNAAM;STRAATNAAM;HUISNUMMER-TOEVOEGING;POSTCODE;PLAATSNAAM;GEMEENTENUMMER;GEMEENTENAAM;DENOMINATIE;TELEFOONNUMMER;INTERNETADRES;ONDERWIJSSTRUCTUUR;STRAATNAAM CORRESPONDENTIEADRES;HUISNUMMER-TOEVOEGING CORRESPONDENTIEADRES;POSTCODE CORRESPONDENTIEADRES;PLAATSNAAM CORRESPONDENTIEADRES;NODAAL GEBIED CODE;NODAAL GEBIED NAAM;RPA-GEBIED CODE;RPA-GEBIED NAAM;WGR-GEBIED CODE;WGR-GEBIED NAAM;COROPGEBIED CODE;COROPGEBIED NAAM;ONDERWIJSGEBIED CODE;ONDERWIJSGEBIED NAAM;RMC-REGIO CODE;RMC-REGIO NAAM
Noord-Holland;40586;17YS;17YS19;Esprit Scholengroep voor Lyceum Havo Mavo Vbo Lwoo;Schipluidenlaan;12;1062 HE;AMSTERDAM;0363;AMSTERDAM;Algemeen bijzonder;          ;                                                                                ;VBO/MAVO;Prinses Irenestraat;59;1077 WV;AMSTERDAM;44;Amsterdam;20;Zuidelijk Noord-Holland;21;Agglomeratie Amsterdam;23;Groot-Amsterdam;15;Zuid-Noord-Holland;21;Agglomeratie Amsterdam
Noord-Holland;40586;17YS;17YS21;Esprit Scholen voor Lyceum Havo Mavo Vbo Lwoo;Geertje Wielemaplein;1;1095 MM;AMSTERDAM;0363;AMSTERDAM;Algemeen bijzonder;0202623240;                                                                                ;HAVO/VWO;Prinses Irenestraat;59;1077 WV;AMSTERDAM;44;Amsterdam;20;Zuidelijk Noord-Holland;21;Agglomeratie Amsterdam;23;Groot-Amsterdam;15;Zuid-Noord-Holland;21;Agglomeratie Amsterdam
Noord-Holland;40586;17YS;17YS22;Esprit Scholen voor Lyceum Havo mavo Vbo Lwoo;Darlingstraat;2;1102 MX;AMSTERDAM;0363;AMSTERDAM;Algemeen bijzonder;0207235280;www.aics.espritscholen.nl;HAVO/VWO;Prinses Irenestraat;59;1077 WV;AMSTERDAM;44;Amsterdam;20;Zuidelijk Noord-Holland;21;Agglomeratie Amsterdam;23;Groot-Amsterdam;15;Zuid-Noord-Holland;21;Agglomeratie Amsterdam
Noord-Holland;40586;17YS;17YS23;Esprit Scholen voor Lyceum Havo Mavo Vbo Lwoo;Dintelstraat;9;1078 VN;AMSTERDAM;0363;AMSTERDAM;Algemeen bijzonder;          ;                                                                                ;VBO/MAVO/HAVO/VWO;                        ;            ;       ;                        ;44;Amsterdam;20;Zuidelijk Noord-Holland;21;Agglomeratie Amsterdam;23;Groot-Amsterdam;15;Zuid-Noord-Holland;21;Agglomeratie Amsterdam
Noord-Holland;40586;30GC;30GC00;Het 4e Gymnasium;Archangelweg;4;1013 ZZ;AMSTERDAM;0363;AMSTERDAM;Algemeen bijzonder;0205849010;                                                                                ;VWO;Prinses Irenestraat;59;1077 WV;AMSTERDAM;44;Amsterdam;20;Zuidelijk Noord-Holland;21;Agglomeratie Amsterdam;23;Groot-Amsterdam;15;Zuid-Noord-Holland;21;Agglomeratie Amsterdam
Noord-Holland;40590;00UM;00UM00;Erfgooiers College mavo havo vwo;Graaf Wichman;175;1276 KD;HUIZEN;0406;HUIZEN;Protestants-Christelijk;0355248020;www.erfgooiers.nl;MAVO/HAVO/VWO;Postbus;163;1270 AD;HUIZEN;45;Hilversum;16;Gooi en Vechtstreek;20;Gooi en Vechtstreek;24;Het Gooi en Vechtstreek;15;Zuid-Noord-Holland;20;Gooi en Vechtstreek
Noord-Holland;40673;25EF;25EF01;Clusius College Alkmaar;Drechterwaard;10;1824 EX;ALKMAAR;0361;ALKMAAR;Algemeen bijzonder;0725610934;                                                                                ;VBO;Drechterwaard;10-A;1824 EX;ALKMAAR;38;Alkmaar;19;Noord-Holland-Noord;24;Noord-Kennemerland;19;Alkmaar en omgeving;14;Noord-Noord-Holland;24;Noord-Kennemerland
Noord-Holland;40673;25EF;25EF02;Clusius College Castricum;Oranjelaan;2-A;1901 TX;CASTRICUM;0383;CASTRICUM;Algemeen bijzonder;0251653600;                                                                                ;VBO;Drechterwaard;10-A;1824 EX;ALKMAAR;42;Velsen;19;Noord-Holland-Noord;24;Noord-Kennemerland;20;IJmond;15;Zuid-Noord-Holland;24;Noord-Kennemerland
Noord-Holland;40673;25EF;25EF03;Clusius College Amsterdam;Rode Kruisstraat;40;1025 KN;AMSTERDAM;0363;AMSTERDAM;Algemeen bijzonder;0206363636;                                                                                ;VBO;Drechterwaard;10-A;1824 EX;ALKMAAR;44;Amsterdam;20;Zuidelijk Noord-Holland;21;Agglomeratie Amsterdam;23;Groot-Amsterdam;15;Zuid-Noord-Holland;21;Agglomeratie Amsterdam
Noord-Holland;40673;25EF;25EF04;Clusius College Purmerend;Aletta Jacobslaan;1;1442 AG;PURMEREND;0439;PURMEREND;Algemeen bijzonder;0299454545;                                                                                ;VBO;Drechterwaard;10-A;1824 EX;ALKMAAR;44;Amsterdam;20;Zuidelijk Noord-Holland;21;Agglomeratie Amsterdam;23;Groot-Amsterdam;15;Zuid-Noord-Holland;21;Agglomeratie Amsterdam
Noord-Holland;40673;25EF;25EF05;Clusius College Grootebroek;Elzenlaan;2;1613 VP;GROOTEBROEK;0532;STEDE BROEC;Algemeen bijzonder;0228511680;                                                                                ;VBO;Drechterwaard;10-A;1824 EX;ALKMAAR;39;Enkhuizen;19;Noord-Holland-Noord;22;Westfriesland;18;Kop van Noord-Holland;14;Noord-Noord-Holland;22;West-Friesland
Noord-Holland;40673;25EF;25EF06;Clusius College Hoorn;Blauwe Berg;1-A;1625 NT;HOORN NH;0405;HOORN;Algemeen bijzonder;0229259484;                                                                                ;VBO;Drechterwaard;10-A;1824 EX;ALKMAAR;40;Hoorn;19;Noord-Holland-Noord;22;Westfriesland;18;Kop van Noord-Holland;14;Noord-Noord-Holland;22;West-Friesland
Noord-Holland;40673;25EF;25EF08;Clusius College Heerhugowaard;Deimoslaan;11;1702 CK;HEERHUGOWAARD;0398;HEERHUGOWAARD;Algemeen bijzonder;0725713051;                                                                                ;VBO;Drechterwaard;10-A;1824 EX;ALKMAAR;38;Alkmaar;19;Noord-Holland-Noord;24;Noord-Kennemerland;19;Alkmaar en omgeving;14;Noord-Noord-Holland;24;Noord-Kennemerland
Noord-Holland;40673;25EF;25EF09;Clusius College Schagen;De Boomgaard;9;1741 MD;SCHAGEN;0441;SCHAGEN;Algemeen bijzonder;0224212725;                                                                                ;VBO;Drechterwaard;10-A;1824 EX;ALKMAAR;37;Den Helder;19;Noord-Holland-Noord;23;Kop van Noord-Holland;18;Kop van Noord-Holland;14;Noord-Noord-Holland;23;Kop van Noord-Holland
Noord-Holland;40676;00PS;00PS00;Alberdingk Thijm Scholen;Emmastraat;56-58;1213 AL;HILVERSUM;0402;HILVERSUM;Rooms-Katholiek;0356460088;www.atscholen.nl;HAVO/VWO;Postbus;700;1200 AS;HILVERSUM;45;Hilversum;16;Gooi en Vechtstreek;20;Gooi en Vechtstreek;24;Het Gooi en Vechtstreek;15;Zuid-Noord-Holland;20;Gooi en Vechtstreek
Noord-Holland;40676;00PS;00PS03;Alberdingk Thijm Scholen.  Locatie: Laar & Berg;Langsakker;4;1251 GB;LAREN NH;0417;LAREN;Rooms-Katholiek;0355395422;www.laarenberg.nl;HAVO/VWO;Postbus;700;1200 AS;HILVERSUM;45;Hilversum;16;Gooi en Vechtstreek;20;Gooi en Vechtstreek;24;Het Gooi en Vechtstreek;15;Zuid-Noord-Holland;20;Gooi en Vechtstreek
Noord-Holland;40676;00PS;00PS04;Alberdingk Thijm Scholen. Locatie: Groot Goylant;Van Linschotenlaan;501;1212 GG;HILVERSUM;0402;HILVERSUM;Rooms-Katholiek;0356850014;www.atscholen.nl;VBO/MAVO;Postbus;700;1200 AS;HILVERSUM;45;Hilversum;16;Gooi en Vechtstreek;20;Gooi en Vechtstreek;24;Het Gooi en Vechtstreek;15;Zuid-Noord-Holland;20;Gooi en Vechtstreek
