PROVINCIE;BEVOEGD GEZAG NUMMER;BRIN NUMMER;VESTIGINGSNUMMER;VESTIGINGSNAAM;STRAATNAAM;HUISNUMMER-TOEVOEGING;POSTCODE;PLAATSNAAM;GEMEENTENUMMER;GEMEENTENAAM;DENOMINATIE;TELEFOONNUMMER;INTERNETADRES;STRAATNAAM CORRESPONDENTIEADRES;HUISNUMMER-TOEVOEGING CORRESPONDENTIEADRES;POSTCODE CORRESPONDENTIEADRES;PLAATSNAAM CORRESPONDENTIEADRES;NODAAL GEBIED CODE;NODAAL GEBIED NAAM;RPA-GEBIED CODE;RPA-GEBIED NAAM;WGR-GEBIED CODE;WGR-GEBIED NAAM;COROPGEBIED CODE;COROPGEBIED NAAM;ONDERWIJSGEBIED CODE;ONDERWIJSGEBIED NAAM;RMC-REGIO CODE;RMC-REGIO NAAM
Gelderland;41340;07CK;07CK00;Brede School De Oversteek;Nieuwstraat;10-A;6621 KV;DREUMEL;0668;WEST MAAS EN WAAL;Rooms-Katholiek;0487571331;www.de-oversteek.nl;Nieuwstraat;10-A;6621 KV;DREUMEL;31;Tiel;13;Nijmegen;15;Rivierenland;16;Zuidwest-Gelderland;11;Oostelijk Maas-Waalgebied;15;Rivierenland
Gelderland;41340;08LY;08LY00;Rooms Katholieke Basisschool De Leeuwenkuil;Leliestraat;26;6658 XN;BENEDEN-LEEUWEN;0668;WEST MAAS EN WAAL;Rooms-Katholiek;0487591701;www.kcbenedenleeuwen.nl;Leliestraat;26;6658 XN;BENEDEN-LEEUWEN;31;Tiel;13;Nijmegen;15;Rivierenland;16;Zuidwest-Gelderland;11;Oostelijk Maas-Waalgebied;15;Rivierenland
Gelderland;41340;09LD;09LD00;Basisschool Maria;Past Schoenmakersstraat;7;6657 CB;BOVEN-LEEUWEN;0668;WEST MAAS EN WAAL;Rooms-Katholiek;0487592076;www.de-mariaschool.nl;Past Schoenmakersstraat;7;6657 CB;BOVEN-LEEUWEN;31;Tiel;13;Nijmegen;15;Rivierenland;16;Zuidwest-Gelderland;11;Oostelijk Maas-Waalgebied;15;Rivierenland
Gelderland;41340;09LR;09LR00;Basisschool De Vuurvlinder;Zanddonk;2;6641 LT;BEUNINGEN GLD;0209;BEUNINGEN;Rooms-Katholiek;0246771501;www.devuurvlinder.school;Zanddonk;2;6641 LT;BEUNINGEN GLD;30;Nijmegen;13;Nijmegen;14;Arnhem/Nijmegen;15;Arnhem/Nijmegen;11;Oostelijk Maas-Waalgebied;40;Rijk van Nijmegen
Gelderland;41340;09PX;09PX00;Integraal Kindcentrum;Irenestraat;3;6651 XK;DRUTEN;0225;DRUTEN;Rooms-Katholiek;0487512750;www.ikcdekubus.nl;Irenestraat;3;6651 XK;DRUTEN;30;Nijmegen;13;Nijmegen;15;Rivierenland;15;Arnhem/Nijmegen;11;Oostelijk Maas-Waalgebied;40;Rijk van Nijmegen
Gelderland;41340;10KS;10KS00;'t Geerke;Kerkstraat;3;6655 AK;PUIFLIJK;0225;DRUTEN;Rooms-Katholiek;0487512748;www.geerke.nl;Postbus;2;6655 ZG;PUIFLIJK;30;Nijmegen;13;Nijmegen;15;Rivierenland;15;Arnhem/Nijmegen;11;Oostelijk Maas-Waalgebied;40;Rijk van Nijmegen
Gelderland;41340;10XO;10XO00;Basisschool de Hoeven;Akkersleep;1-3;6641 WR;BEUNINGEN GLD;0209;BEUNINGEN;Rooms-Katholiek;0246772604;                                                                                ;Akkersleep;1-3;6641 WR;BEUNINGEN GLD;30;Nijmegen;13;Nijmegen;14;Arnhem/Nijmegen;15;Arnhem/Nijmegen;11;Oostelijk Maas-Waalgebied;40;Rijk van Nijmegen
Gelderland;41340;21NO;21NO00;Openbare Basisschool De Peppel;Augustuslaan;22;6642 AB;BEUNINGEN GLD;0209;BEUNINGEN;Openbaar;0246775755;                                                                                ;Augustuslaan;22;6642 AB;BEUNINGEN GLD;30;Nijmegen;13;Nijmegen;14;Arnhem/Nijmegen;15;Arnhem/Nijmegen;11;Oostelijk Maas-Waalgebied;40;Rijk van Nijmegen
Gelderland;41340;24DR;24DR00;OBD De Dromedaris;Wolfsbossingel;105;6642 CM;BEUNINGEN GLD;0209;BEUNINGEN;Algemeen bijzonder;0246777428;www.dedromedaris.nl;Wolfsbossingel;105;6642 CM;BEUNINGEN GLD;30;Nijmegen;13;Nijmegen;14;Arnhem/Nijmegen;15;Arnhem/Nijmegen;11;Oostelijk Maas-Waalgebied;40;Rijk van Nijmegen
Gelderland;41345;03EH;03EH00;De Wereldweide;Clematisstraat;10;8091 VK;WEZEP;0269;OLDEBROEK;Openbaar;0383761855;www.dewereldweide.nl;Clematisstraat;10;8091 VK;WEZEP;18;Zwolle;08;Noordwest-Veluwe;17;Noordwest-Veluwe;13;Veluwe;05;Zwolle-Meppel en omstreken;17;Noordwest-Veluwe
Gelderland;41345;10CJ;10CJ00;De Ontdekking;Arthur Brietstraat;40;8072 GZ;NUNSPEET;0302;NUNSPEET;Openbaar;0341253975;www.montessorischooldeontdekking.nl;Arthur Brietstraat;40;8072 GZ;NUNSPEET;28;Harderwijk;08;Noordwest-Veluwe;17;Noordwest-Veluwe;13;Veluwe;10;Harderwijk-Amersfoort;17;Noordwest-Veluwe
Gelderland;41345;10UZ;10UZ00;Openbare Basisschool De Schovenhorst;Garderenseweg;144-A;3881 NC;PUTTEN;0273;PUTTEN;Openbaar;0341353036;www.obsdeschovenhorst.nl;Garderenseweg;144-A;3881 NC;PUTTEN;28;Harderwijk;08;Noordwest-Veluwe;17;Noordwest-Veluwe;13;Veluwe;10;Harderwijk-Amersfoort;17;Noordwest-Veluwe
Gelderland;41345;11RX;11RX00;Jan Ligthartschool;Fazantenstraat;7;8191 AJ;WAPENVELD;0246;HEERDE;Openbaar;0384478970;www.jlswapenveld.nl;Fazantenstraat;7;8191 AJ;WAPENVELD;18;Zwolle;06;IJssel en Vecht;10;IJssel-Vecht;13;Veluwe;05;Zwolle-Meppel en omstreken;10;IJssel-Vecht
Gelderland;41345;11VA;11VA00;Basisschool Arendshorst;Zwaluwstraat;1;3853 CA;ERMELO;0233;ERMELO;Openbaar;          ;www.obsarendshorst.nl;Zwaluwstraat;1;3853 CA;ERMELO;28;Harderwijk;08;Noordwest-Veluwe;17;Noordwest-Veluwe;13;Veluwe;10;Harderwijk-Amersfoort;17;Noordwest-Veluwe
Gelderland;41345;12CK;12CK00;Jenaplanschool Heerde;Beatrixweg;30;8181 LE;HEERDE;0246;HEERDE;Openbaar;0578692854;www.jenaplanschoolheerde.nl;Beatrixweg;30;8181 LE;HEERDE;18;Zwolle;06;IJssel en Vecht;10;IJssel-Vecht;13;Veluwe;05;Zwolle-Meppel en omstreken;10;IJssel-Vecht
Gelderland;41345;12LM;12LM00;Horsthoekschool;Oenerweg;7;8181 RE;HEERDE;0246;HEERDE;Openbaar;0578692850;www.horsthoek.nl;Oenerweg;7;8181 RE;HEERDE;18;Zwolle;06;IJssel en Vecht;10;IJssel-Vecht;13;Veluwe;05;Zwolle-Meppel en omstreken;10;IJssel-Vecht
Gelderland;41345;12TO;12TO00;Openbare Basisschool de Spreng;Rhijnsburglaan;7-A;8181 XW;HEERDE;0246;HEERDE;Openbaar;0578692177;www.sprengheerde.nl;Rhijnsburglaan;7-A;8181 XW;HEERDE;18;Zwolle;06;IJssel en Vecht;10;IJssel-Vecht;13;Veluwe;05;Zwolle-Meppel en omstreken;10;IJssel-Vecht
Gelderland;41345;12VQ;12VQ00;Basisschool de Cantharel;Amanietlaan;5;3852 ZX;ERMELO;0233;ERMELO;Openbaar;0341553855;www.decantharel.nl;Amanietlaan;5;3852 ZX;ERMELO;28;Harderwijk;08;Noordwest-Veluwe;17;Noordwest-Veluwe;13;Veluwe;10;Harderwijk-Amersfoort;17;Noordwest-Veluwe
Gelderland;41345;13JJ;13JJ00;De Sprenge Vaassen;Boxhofstede;15;8171 KC;VAASSEN;0232;EPE;Openbaar;0578571555;www.desprenge-vaassen.nl;Boxhofstede;15;8171 KC;VAASSEN;27;Apeldoorn;09;Stedendriehoek;11;Stedendriehoek;13;Veluwe;07;Apeldoorn en midden-IJsselgebied;11;Stedendriehoek
Gelderland;41345;13JJ;13JJ01;Montessorischool Sterrenschool Geerstraat;Oude Sluisweg;14;8171 LH;VAASSEN;0232;EPE;Openbaar;0578571299;www.montessori-sterrenschool.nl;Oude Sluisweg;14;8171 LH;VAASSEN;27;Apeldoorn;09;Stedendriehoek;11;Stedendriehoek;13;Veluwe;07;Apeldoorn en midden-IJsselgebied;11;Stedendriehoek
Gelderland;41345;13JJ;13JJ02;De Sprenge Emst;Hezeweg;40;8166 AP;EMST;0232;EPE;Openbaar;0578661525;www.desprenge-emst.nl;Hezeweg;40;8166 AP;EMST;27;Apeldoorn;09;Stedendriehoek;11;Stedendriehoek;13;Veluwe;07;Apeldoorn en midden-IJsselgebied;11;Stedendriehoek
Gelderland;41345;13SQ;13SQ00;De Bongerd;Dorpsstraat;16;8167 NL;OENE;0232;EPE;Openbaar;0578641289;www.debongerdoene.nl;Dorpsstraat;16;8167 NL;OENE;27;Apeldoorn;09;Stedendriehoek;11;Stedendriehoek;13;Veluwe;07;Apeldoorn en midden-IJsselgebied;11;Stedendriehoek
Gelderland;41345;13WE;13WE00;OBS Gildeschool;Sint Crusiusweg;12;8161 HG;EPE;0232;EPE;Openbaar;0578612932;www.gildeschool-epe.nl;Sint Crusiusweg;12;8161 HG;EPE;27;Apeldoorn;09;Stedendriehoek;11;Stedendriehoek;13;Veluwe;07;Apeldoorn en midden-IJsselgebied;11;Stedendriehoek
Gelderland;41345;14CY;14CY00;Openbare Basisschool Nieuwe Wisselse School;Oude Wisselseweg;35;8162 HJ;EPE;0232;EPE;Openbaar;0578612896;www.nieuwewisselseschool.nl;Oude Wisselseweg;35;8162 HJ;EPE;27;Apeldoorn;09;Stedendriehoek;11;Stedendriehoek;13;Veluwe;07;Apeldoorn en midden-IJsselgebied;11;Stedendriehoek
Gelderland;41345;14FS;14FS00;Openbare Basisschool Hoge Weerdschool;Wachtelenbergweg;21;8162 XC;EPE;0232;EPE;Openbaar;0578612130;www.hogeweerdschool.nl;Wachtelenbergweg;21;8162 XC;EPE;27;Apeldoorn;09;Stedendriehoek;11;Stedendriehoek;13;Veluwe;07;Apeldoorn en midden-IJsselgebied;11;Stedendriehoek
